Tessin-Drame/Famille-Meilleur scénario-2012;1;Summer Games; Rolando Colla;Rolando Colla, Pilar Anguita-MacKay
Tessin-Drame/Histoire-Meilleure interprétation féminine-2012;1;Eine wen iig, dr Dällebach Kari;Xavier Koller;Carla Juri
Suisse allemande-NA-Meilleur court métrage-1998;1;Angélique (Episode de «Blind Date») ;Samir ;NA
Suisse romande-Drame/Famille-Meilleur scénario-2009;1;Home;Ursula Meier;Ursula Meier, Antoine Jaccoud
Suisse allemande-Drame/historique-Meilleure interprétation masculine-2012;1;Der Verdingbub ;Markus Imboden ;Max Hubacher 
Suisse allemande-Policier-Meilleur espoir-2010;1;Dirty Money, l’infiltré ;Dominique Othenin-Girard ;Uygar Tamer 
Suisse allemande-Drame/Famille-Meilleur film de fiction-2008;1;Der Freund;Micha Lewinsky;NA
Suisse romande-Drame/Famille-Meilleur espoir-2009;1;Home;Ursula Meier;Kacey Mottet Klein
Suisse allemande-NA-Meilleur film d'animation-2007;1;Wolkenbruch;Simon Eltz;NA
Suisse allemande-Drame/Société-Meilleur rôle principal-2005;1;Strähl;Manuel Flurin Hendry;Roeland Wiesnekker
Suisse allemande-Docu/Société/Paysan-Meilleur Documentaire-2003;1;Transhumance vers le troisième miilénaire;Erich Langjahr;NA
Tessin-Drame/Famille-Meilleur film de fiction-2012;1;Summer Games;Rolando Colla;NA
Suisse allemande-NA-Meilleure interprétation masculine-2003;1;Big Deal;Markus Fischer;Mathias Gnädinger
Suisse allemande-Docu/Migration-Meilleur Documentaire-2002;1;Bashkim;Vadim Jendreyko;NA
Suisse romande-Docu/Economie politique-Meilleur Documentaire-2011;1;Cleveland contre Wall Street ;Jean-Stéphane Bron;NA
Suisse romande-Drame/Adolescence-Meilleure interprétation féminine-2009;1;Du bruit dans la tête;Vincent Pluss;Celine Bolomey
Suisse romande-Comédie/Amour-Meilleur rôle principal-2006;1;Snow White;Samir;Carlos Leal
Suisse allemande-Docu/Economie politique-Meilleur Documentaire-2009;1;No More Smoke Signals;Fanny Bräuning;NA
Suisse romande-Docu/Société-Meilleur Documentaire-2006;1;Exit, le droit de mourir;Fernand Melgar;NA
Suisse romande-Drame/Famille-Meilleur scénario-2011;1;La petite chambre ;Stéphanie Chuat, Véronique Reymond;Stéphanie Chuat, Véronique Reymond 
Suisse allemande-NA-Meilleure Musique de film-2012;1;Goodnight Nobody ;Jacqueline Zünd;Balz Bachmann, Peter Bräker, George Vaine
Suisse romande-NA-Meilleur court métrage-2011;1;Yuri Lennon’s Landing On Alpha 46 ;Anthony Vouardoux ;NA
Suisse allemande-Comédie/Famille-Meilleur film de fiction-2006;1;Mein Name ist Eugen;Michael Steiner;NA
Suisse romande-Docu/Economie politique-Meilleur Documentaire-2004;1;Mais im Bundeshuus – Le génie helvétique;Jean-Stéphane Bron;NA
Suisse allemande-Docu/Famille-Meilleur Documentaire-2010;1;La femme aux 5 éléphants;Vadim Jendreyko;NA
Suisse allemande-Docu/Société/Paysan-Meilleur Documentaire-2000;1;Schlagen und Abtun;Norbert Wiedmer ;NA
Suisse allemande-Comédie/Société-Meilleur rôle principal-2004;1;Meier Marilyn;Stina Werenfels ;Bettina Stucky
Suisse allemande-NA-Meilleur court métrage-2013;1;Einspruch VI;Rolando Colla ;NA
Suisse romande-NA-Meilleur court métrage-2002;1;La jeune fille et les nuages;Georges Schwizgebel ;NA
Suisse romande-Drame/Amour-Meilleure interprétation masculine-2010;1;Cœur animal ;Séverine Cornamusaz ;Antonio Buil
Suisse allemande-Comédie/Amour-Meilleure interprétation féminine-2010;1;Die Standesbeamtin;Micha Lewinsky;Marie Leuenberger 
Suisse allemande-NA-Meilleure Musique de film-2009;1;Zara ;Ayten Mutlu Saray;Marcel Vaid 
